LAT,LON,Total_Rn2200100_Sum
32.3,-105.95,2.8002356640000002e-08
32.3,-105.9,6.832575020159999e-08
32.3,-105.85,4.39636999248e-08
32.3,-105.8,6.7205655936e-08
32.3,-105.75,1.20410133552e-07
32.3,-105.7,8.1206834256e-08
32.3,-105.65,1.03608719568e-07
32.3,-105.6,9.520801257600001e-08
32.3,-105.55,9.520801257600001e-08
32.3,-105.5,1.4561225452800001e-07
32.3,-105.45,8.9607541248e-08
32.3,-105.4,4.200353496e-08
32.3,-105.35,1.06408955232e-08
32.3,-105.3,1.06408955232e-08
32.3,-105.25,8.1206834256e-08
32.35,-106.15,6.720565593599999e-09
32.35,-106.1,4.7604006288000006e-08
32.35,-106.05,3.3602827968e-08
32.35,-106.0,2.6882262374399997e-08
32.35,-105.95,4.4803770624e-08
32.35,-105.9,7.8406598592e-08
32.35,-105.85,6.55255145376e-08
32.35,-105.8,1.1760989788799999e-07
32.35,-105.75,1.03608719568e-07
32.35,-105.7,6.7205655936e-08
32.35,-105.65,1.03608719568e-07
32.35,-105.6,1.03608719568e-07
32.35,-105.55,1.34411311872e-07
32.35,-105.5,1.56813197184e-07
32.35,-105.45,5.3204477616e-08
32.35,-105.4,2.12817910464e-08
32.35,-105.35,1.06408955232e-08
32.35,-105.3,3.6403063632000004e-08
32.35,-105.25,7.00058916e-08
32.35,-100.75,6.160518460800001e-09
32.4,-106.15,3.6403063632000004e-08
32.4,-106.1,4.200353496e-08
32.4,-106.05,3.3602827968e-08
32.4,-106.0,1.3721154753599999e-08
32.4,-105.95,5.0404241951999996e-08
32.4,-105.9,1.20410133552e-07
32.4,-105.85,8.9607541248e-08
32.4,-105.8,1.31611076208e-07
32.4,-105.75,1.34411311872e-07
32.4,-105.7,1.03608719568e-07
32.4,-105.65,1.48412490192e-07
32.4,-105.6,1.0080848390399999e-07
32.4,-105.55,1.31611076208e-07
32.4,-105.5,1.62413668512e-07
32.4,-105.45,3.0802592304e-08
32.4,-105.4,1.06408955232e-08
32.4,-105.35,1.06408955232e-08
32.4,-105.3,6.4405420272e-08
32.4,-105.25,5.3204477616e-09
32.4,-101.55,6.160518460800001e-09
32.4,-101.3,6.160518460800001e-09
32.4,-100.9,6.160518460800001e-09
32.4,-100.8,6.160518460800001e-09
32.4,-100.75,1.2321036921600002e-08
32.45,-106.15,6.4405420272e-08
32.45,-106.1,7.8406598592e-08
32.45,-106.05,5.8804948943999995e-08
32.45,-106.0,1.90416025152e-08
32.45,-105.95,6.91658209008e-08
32.45,-105.9,8.400706992e-08
32.45,-105.85,1.6241366851200002e-07
32.45,-105.8,1.691342341056e-07
32.45,-105.75,2.2401885312000002e-07
32.45,-105.7,9.156770621279999e-08
32.45,-105.65,1.1760989788799999e-07
32.45,-105.6,5.8804948943999995e-08
32.45,-105.55,1.59613432848e-07
32.45,-105.5,1.1760989788799999e-07
32.45,-105.45,4.200353496e-08
32.45,-105.4,1.0920919089599998e-08
32.45,-105.35,2.1561814612799997e-08
32.45,-105.3,7.00058916e-08
32.45,-105.25,5.3204477616e-09
32.45,-101.55,6.160518460800001e-09
